company_name,date,edu_req,hiring,job_name,viewed,wages,work_exp,work_place
贵州恒利会计师事务有限公司, 2021-12-28,不限,3,注册税务师,本职位累积查看：26227 次,60000--100000  年薪,不限,贵州-贵阳市
贵州标准电机有限公司, 2021-12-28,本科,1,会计,本职位累积查看：1906 次,3000--7000  月薪,1-2 年,贵州-黔南布依族苗族自治州-独山县
贵州协力启航科技有限公司, 2021-12-28,不限,5,氩弧焊接工,本职位累积查看：5599 次,面议,不限,贵州-安顺市-平坝县
中审亚太会计师事务所（特殊普通合伙）贵州分所, 2021-12-28,不限,10,审计实习生,本职位累积查看：15254 次,10000--20000  年薪,不限,贵州-贵阳市
贵州贵乾铝业有限公司, 2021-12-28,大专,1,会计,本职位累积查看：6658 次,4000--7000  月薪,不限,贵州-贵阳市-清镇市
深圳市洲明科技股份有限公司, 2021-12-28,本科,3,行业销售经理,本职位累积查看：2753 次,6000--20000  月薪,3年以上,贵州-贵阳市-观山湖区
贵州麒龙房地产开发集团有限公司, 2021-12-28,不限,1,房修工程师,本职位累积查看：1078 次,面议,1-3 年,贵州-黔西南布依族苗族自治州
中国人寿保险股份有限公司售后服务部, 2021-12-28,大专,30,团队管理储备负责人,本职位累积查看：1752 次,3000--5000  月薪,不限,贵州-贵阳市-南明区
贵州鑫新实业控股集团有限责任公司, 2021-12-28,不限,1,行政外勤（黔西）,本职位累积查看：307 次,5000--6000  月薪,2年以上,贵州-毕节地区-黔西县
贵州建工监理咨询有限公司, 2021-12-28,不限,50,监理员（持证）,本职位累积查看：2256 次,2000--4000  月薪,不限,贵州-黔东南苗族侗族自治州-凯里市
贵州纵横力创科技有限公司, 2021-12-28,本科,3,用地预审与报件,本职位累积查看：3845 次,50000--120000  年薪,1-5 年,贵州-贵阳市-观山湖区
贵阳宏图科技有限公司（贵州省信息安全评估中心）, 2021-12-28,大专,1,商务专员,本职位累积查看：817 次,30000--100000  年薪,不限,贵州-黔南布依族苗族自治州-都匀市
上海红星美凯龙品牌管理有限公司贵阳分公司, 2021-12-28,不限,5,安全员/安全主管（退役军人优先）,本职位累积查看：3417 次,3000--4000  月薪,不限,贵州-贵阳市-南明区
贵州万国科技有限公司, 2021-12-28,不限,1,总经理助理,本职位累积查看：523 次,6000--8000  月薪,不限,贵州-贵阳市
泉州联审工程造价咨询有限公司贵阳分公司, 2021-12-28,大专,5,造价员（安装）,本职位累积查看：2965 次,10000以下  月薪,不限,贵州-贵阳市-观山湖区
贵州新西南教育发展有限公司, 2021-12-28,大专,4,铜仁分校市场助理,本职位累积查看：6074 次,3000--5000  月薪,不限,贵州-铜仁地区-铜仁市
贵州楚盛专汽汽车销售有限公司, 2021-12-28,大专,若干,销售顾问,本职位累积查看：256 次,3000--8000  月薪,2-3 年,贵州-贵阳市-花溪区
贵州安泰万家生物科技有限公司, 2021-12-28,不限,10,应届毕业生,本职位累积查看：3541 次,2500--4000  月薪,不限,贵州-贵阳市-云岩区
贵州省开投建设工程有限公司, 2021-12-28,大专,1,工程造价预算,本职位累积查看：10502 次,7000--15000  月薪,5-8 年,贵州-贵阳市-观山湖区
贵州宏远达水土工程有限公司, 2021-12-28,本科,若干,地质勘查工程师,本职位累积查看：4731 次,3500--15000  月薪,1年以上,贵州-贵阳市
上海红星美凯龙品牌管理有限公司贵阳分公司, 2021-12-28,高中,若干,商场收银员,本职位累积查看：1748 次,2500--3200  月薪,不限,贵州-贵阳市-南明区
贵州燃气集团股份有限公司, 2021-12-28,大专,4,场站操作工[只招应届毕业生],本职位累积查看：2227 次,3000以上  月薪,不限,贵州-黔南布依族苗族自治州-瓮安县
贵州北斗星测绘服务有限公司, 2021-12-28,不限,4,测绘工程师（项目负责人）,本职位累积查看：1960 次,4500--8000  月薪,3年以上,贵州-贵阳市-云岩区
贵州好生活智慧物业股份有限公司, 2021-12-28,大专,1,人力行政总监,本职位累积查看：1428 次,12000--20000  月薪,5-8 年,贵州-贵阳市-观山湖区
贵州锦丰矿业有限公司, 2021-12-28,本科,1,合同专员,本职位累积查看：159 次,4500--5500  月薪,不限,贵州-黔西南布依族苗族自治州-贞丰县
贵州机电（集团）有限公司, 2021-12-28,中技,2,钳工,本职位累积查看：3849 次,面议,1年以上,贵州-黔南布依族苗族自治州-惠水县
贵阳李小平摄影艺术有限公司（高校）, 2021-12-28,不限,20,摄影助理,本职位累积查看：329 次,2000--3000  月薪,不限,贵州-贵阳市-观山湖区
贵州省交通规划勘察设计研究院股份有限公司, 2021-12-28,本科,3,（社招）公路BIM设计,本职位累积查看：142 次,10000--13000  月薪,3-5 年,贵州-贵阳市-观山湖区
贵州菁瑞健身管理有限公司, 2021-12-28,不限,15,急聘健身教练,本职位累积查看：1581 次,6000--12000  月薪,不限,贵州-黔东南苗族侗族自治州-雷山县
中兴通讯股份有限公司贵州分公司, 2021-12-28,本科,5,客户经理,本职位累积查看：13407 次,10000以上  月薪,3年以上,贵州-贵阳市-观山湖区
贵州轮胎股份有限公司., 2021-12-28,初中,100,操作技工,本职位累积查看：42818 次,2700--6000  月薪,不限,贵州-贵阳市
明创慧远（贵州）技术有限公司, 2021-12-28,中技,若干,数控车工,本职位累积查看：909 次,5000--6000  月薪,1年以下,贵州-贵安新区
贵州升钻源商贸有限责任公司, 2021-12-28,不限,1,贵州销售总监,本职位累积查看：1469 次,5000--15000  月薪,1-8 年,贵州-贵阳市-观山湖区
保利贵州物业管理有限公司, 2021-12-28,不限,若干,工程技术员,本职位累积查看：4120 次,3500--5000  月薪,2-5 年,贵州-贵阳市-南明区
黔贵德义暖通工程有限公司, 2021-12-28,大专,若干,渠道销售,本职位累积查看：961 次,4500--5000  月薪,1-10 年,贵州-贵阳市-南明区
贵州建工集团第一建筑工程有限责任公司, 2021-12-28,中专,21,房建项目资料员（房建）,本职位累积查看：29357 次,6000--10000  月薪,5-20 年,贵州-贵阳市
保利贵州物业管理有限公司, 2021-12-28,大专,4,项目工程主管,本职位累积查看：764 次,6000--8000  月薪,3-5 年,贵州-贵阳市-南明区
贵州阿乐食品有限公司, 2021-12-28,本科,5,运营督导,本职位累积查看：1460 次,4000--5000  月薪,3年以下,贵州-贵阳市
贵州阿乐食品有限公司, 2021-12-28,不限,2,线上运营专员,本职位累积查看：1715 次,4000--5000  月薪,1-3 年,贵州-贵阳市
贵州轮胎股份有限公司., 2021-12-28,硕士,1,结构工程师,本职位累积查看：1783 次,6000--10000  月薪,1-2 年,贵州-贵阳市
永建设计集团有限公司贵阳第七分公司, 2021-12-28,本科,2,水利水电设计（水工设计）,本职位累积查看：470 次,120000--400000  年薪,5-10 年,贵州-贵阳市-观山湖区
贵阳市大数据产业集团有限公司, 2021-12-28,本科,1,财务主管,本职位累积查看：1128 次,100000--160000  年薪,3年以上,贵州-贵阳市-观山湖区
贵州青柠檬教育科技有限责任公司（直播）, 2021-12-28,不限,若干,三维动画师,本职位累积查看：10 次,面议,不限,贵州-贵阳市
贵阳市工业职业学校, 2021-12-28,本科,3,钢琴教师,本职位累积查看：1910 次,3000--5000  月薪,不限,贵州-贵阳市
